DOMAIN	ACCESSION	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
Glyoxalase	PF00903.30	16	14	13	21	19	18	17	17
FAD_binding_4	PF01565.28	18	16	16	14	19	20	20	21
Acetyltransf_7	PF13508.12	17	15	18	19	17	20	18	20
PP-binding	PF00550.30	8	8	13	8	11	13	15	12
Beta-lactamase	PF00144.29	15	14	22	18	19	17	14	21
Acyl-CoA_dh_N	PF02771.21	17	15	15	15	21	18	20	16
GMC_oxred_C	PF05199.18	24	16	14	17	18	15	14	21
Ubie_methyltran	PF01209.23	16	13	20	13	20	20	19	19
2-Hacid_dh_C	PF02826.24	12	13	15	16	19	17	17	15
GMC_oxred_N	PF00732.24	23	15	13	18	19	14	14	19
FAA_hydrolase	PF01557.23	20	19	11	22	19	13	10	19
Ank_5	PF13857.11	8	10	17	11	11	10	11	22
Amidohydro_2	PF04909.19	21	14	16	25	15	15	11	15
SET	PF00856.33	16	18	19	14	14	17	14	19
GDP_Man_Dehyd	PF16363.10	17	13	15	17	17	18	18	13
AAA_lid_3	PF17862.6	14	14	15	14	15	15	13	14
GST_C_2	PF13410.11	19	11	18	21	17	12	17	13
Response_reg	PF00072.29	13	17	19	14	17	15	15	17
FMN_dh	PF01070.23	16	10	14	11	19	16	19	18
Glyco_trans_2_3	PF13632.11	16	16	11	12	18	18	16	19
NAD_binding_1	PF00175.26	13	11	12	17	20	13	18	22
UCH	PF00443.34	12	13	15	12	15	16	16	17
BTB	PF00651.36	15	19	13	10	16	16	15	16
GFO_IDH_MocA	PF01408.27	11	13	18	11	21	19	16	13
Amidohydro_3	PF07969.16	17	15	14	14	18	14	16	13
Proteasome	PF00227.31	12	14	13	12	13	13	14	14
Acetyltransf_10	PF13673.12	16	12	15	13	15	14	18	17
EF-hand_1	PF00036.37	8	8	8	9	9	8	9	8
ABC2_membrane_7	PF19055.5	13	9	13	13	11	13	10	15
RTA1	PF04479.18	13	8	14	11	18	16	18	17
GST_C_3	PF14497.11	17	10	15	18	16	12	17	14
Arm	PF00514.28	2	2	2	2	2	2	2	2
Aminotran_5	PF00266.24	13	12	15	15	14	15	13	15
NAD_binding_6	PF08030.17	14	13	14	16	15	18	13	13
Aa_trans	PF01490.23	14	13	12	13	16	16	15	16
Oxidored_FMN	PF00724.25	14	11	15	14	14	13	15	15
Na_Ca_ex	PF01699.29	6	5	10	6	8	9	7	6
EF-hand_7	PF13499.11	11	9	9	10	9	10	9	10
Acyl-CoA_dh_2	PF08028.16	13	15	16	13	16	13	15	13
Peptidase_M20	PF01546.33	14	11	14	16	15	16	15	13
Ferric_reduct	PF01794.24	15	12	15	19	11	14	12	15
DLH	PF01738.23	15	12	9	12	17	19	12	13
zf-RING_UBOX	PF13445.11	16	12	14	12	14	13	12	18
Polysacc_synt_2	PF02719.20	16	9	18	13	15	11	17	12
DUF3433	PF11915.13	4	5	11	8	13	7	7	6
NAD_binding_2	PF03446.20	8	12	10	14	18	16	14	17
EF-hand_8	PF13833.11	9	8	7	7	7	7	7	7
SH3_2	PF07653.22	15	13	14	11	14	13	12	11
C2	PF00168.35	7	8	12	6	9	8	7	10
NUDIX	PF00293.33	14	11	15	13	11	14	13	15
Clr5	PF14420.11	12	9	22	10	12	16	12	13
ANAPC4_WD40	PF12894.12	12	13	10	10	13	14	12	10
Aminotran_3	PF00202.26	11	16	8	13	17	12	14	12
FAD_binding_8	PF08022.17	14	16	13	12	11	14	10	12
Peptidase_S15	PF02129.23	19	13	11	14	9	15	10	11
FAD_oxidored	PF12831.12	15	8	12	19	14	12	11	12
zf-C3HC4_2	PF13923.11	13	13	14	12	12	13	12	13
His_Phos_1	PF00300.27	10	12	13	9	13	13	12	13
PQ-loop	PF04193.19	6	8	6	6	8	8	7	5
Asp	PF00026.28	9	10	7	9	15	16	20	14
SH3_9	PF14604.11	11	11	12	11	11	11	11	10
PIR	PF00399.24	2	3	2	1	2	2	3	2
PH	PF00169.34	11	12	12	12	12	11	12	10
HisKA	PF00512.30	9	15	15	12	13	11	12	12
zf-CCHC	PF00098.28	2	4	5	3	2	3	2	2
Isochorismatase	PF00857.25	13	5	10	12	15	18	13	10
Acyl_transf_3	PF01757.27	10	9	15	16	12	14	8	14
CBS	PF00571.33	6	6	6	6	6	7	6	7
APH	PF01636.28	13	12	17	8	5	16	6	18
PALP	PF00291.30	13	15	10	9	14	12	12	11
Cu-oxidase_2	PF07731.19	12	8	13	10	11	11	11	14
LRR_8	PF13855.11	8	7	9	7	7	8	8	7
EF-hand_6	PF13405.11	10	6	7	8	9	8	9	9
Cupin_1	PF00190.27	11	8	9	9	13	12	9	11
Actin	PF00022.24	10	9	9	10	10	9	9	9
CoA_transf_3	PF02515.22	8	9	13	15	12	14	12	9
Prenyltrans	PF00432.26	4	5	3	4	2	3	2	3
CN_hydrolase	PF00795.27	13	9	10	12	14	11	12	13
Thioredoxin	PF00085.25	8	8	9	8	8	11	9	9
Cation_ATPase	PF13246.11	16	11	14	13	9	10	10	10
MIP	PF00230.25	9	10	12	9	12	12	12	12
Glyco_tranf_2_3	PF13641.11	11	12	8	9	14	13	12	12
PX	PF00787.29	11	11	11	12	10	11	13	12
Cu-oxidase	PF00394.27	12	8	13	11	11	9	11	15
Cu-oxidase_3	PF07732.20	12	8	12	11	11	10	11	15
Biotin_lipoyl	PF00364.27	13	13	10	10	10	11	10	12
PHD	PF00628.34	8	9	10	11	8	11	12	9
HMA	PF00403.31	6	4	8	10	7	7	4	6
Aldolase_II	PF00596.26	10	11	8	14	15	7	11	12
WSC	PF01822.24	8	4	5	3	6	6	5	2
CPSase_L_D2	PF02786.22	11	11	8	8	9	8	9	10
GFA	PF04828.20	14	11	7	13	11	11	9	9
BRCT	PF00533.31	9	6	8	6	10	7	11	10
4HBT	PF03061.27	14	8	12	15	9	11	9	9
GFO_IDH_MocA_C3	PF22725.1	8	10	11	7	14	16	12	9
M20_dimer	PF07687.19	10	10	13	11	10	11	11	11
Peptidase_S9	PF00326.26	11	7	8	13	16	11	11	9
Ribonuc_L-PSP	PF01042.26	12	9	8	15	12	13	10	7
PCI	PF01399.32	12	10	11	9	11	12	11	10
Alpha-amylase	PF00128.29	10	7	11	11	13	11	12	9
LSM	PF01423.27	15	9	8	10	12	9	11	10
2-Hacid_dh	PF00389.35	9	7	9	11	14	13	11	10
bZIP_1	PF00170.26	11	9	10	9	11	13	10	10
Myb_DNA-binding	PF00249.36	4	11	8	7	9	8	10	9
Peptidase_S10	PF00450.27	8	8	10	7	11	9	12	12
HAD_2	PF13419.11	8	11	9	8	12	11	11	10
Kinesin	PF00225.28	11	10	10	9	10	9	9	8
PDR_CDR	PF06422.17	9	7	11	8	7	9	7	13
WW	PF00397.31	5	8	10	7	7	8	6	7
Gtr1_RagA	PF04670.17	10	11	10	9	11	10	11	9
Glu_synthase	PF01645.22	10	6	10	10	11	10	14	10
Patatin	PF01734.27	9	4	12	11	10	12	9	13
RabGAP-TBC	PF00566.24	8	8	10	10	10	9	11	12
Thiolase_N	PF00108.28	12	9	9	12	9	9	9	9
zf-C3HC4_3	PF13920.11	8	10	11	7	12	11	7	12
TPR_19	PF14559.11	8	6	8	6	8	7	9	6
Glyco_hydro_16	PF00722.27	8	11	7	7	10	11	10	13
TPP_enzyme_C	PF02775.26	10	5	11	10	10	10	9	12
Thiolase_C	PF02803.23	11	9	9	12	9	9	9	9
UCH_1	PF13423.11	8	8	9	8	10	10	11	11
TPP_enzyme_M	PF00205.27	10	4	11	9	10	10	9	12
His_Phos_2	PF00328.27	8	8	9	8	9	14	9	10
ABC1	PF03109.21	7	9	8	10	8	8	8	9
AtuA	PF07287.16	6	11	8	8	9	8	12	8
F420_oxidored	PF03807.22	5	8	10	9	12	10	10	10
Cation_ATPase_N	PF00690.31	12	8	11	11	7	9	8	8
HLH	PF00010.31	10	18	8	8	8	6	6	10
Dala_Dala_lig_C	PF07478.18	11	8	5	7	8	7	8	8
Clathrin	PF00637.25	4	3	3	3	3	3	4	3
FHA	PF00498.31	11	9	11	10	9	8	9	7
Rieske	PF00355.31	8	7	10	6	12	9	11	11
GATase	PF00117.33	7	9	9	9	10	7	10	9
Condensation	PF00668.25	1	3	6	2	1	3	3	2
CorA	PF01544.23	5	6	9	7	10	13	8	10
Rng_hyd_C	PF21274.2	10	6	7	10	13	6	7	14
RCC1	PF00415.23	2	2	4	4	4	3	4	5
Microtub_bd	PF16796.10	9	10	9	9	10	8	9	8
tRNA-synt_1	PF00133.27	7	6	7	5	5	6	7	7
Pro_isomerase	PF00160.26	9	10	8	8	9	8	10	10
Cys_Met_Meta_PP	PF01053.25	9	7	8	8	11	9	10	8
TPP_enzyme_N	PF02776.23	10	4	10	10	8	10	8	11
Say1_Mug180	PF10340.14	8	7	8	10	11	10	8	9
Cpn60_TCP1	PF00118.29	8	9	10	8	9	10	8	9
HEAT_EZ	PF13513.11	6	8	9	7	8	9	8	7
Kelch_4	PF13418.11	3	5	8	5	9	5	6	4
zf-met	PF12874.12	7	9	9	9	9	8	10	8
Glyco_hydro_3	PF00933.26	8	6	13	9	9	11	8	6
Flavodoxin_1	PF00258.30	8	7	7	7	11	8	8	14
Cyclase	PF04199.18	8	10	6	8	10	7	12	8
PRISE	PF22917.1	10	10	8	6	9	8	10	8
SnoaL_4	PF13577.11	6	5	9	12	11	14	4	7
PepX_C	PF08530.15	15	11	5	6	6	12	7	6
NAD_binding_11	PF14833.11	7	7	5	7	11	9	8	11
Iso_dh	PF00180.25	7	7	9	8	11	8	9	7
Kinase-like	PF14531.11	7	9	10	11	8	8	8	7
IMPDH	PF00478.30	8	8	7	9	7	6	10	8
Methyltransf_2	PF00891.23	5	7	9	8	12	6	6	14
ApbA	PF02558.21	6	7	7	11	9	8	8	10
Hydantoinase_A	PF01968.23	10	5	6	10	7	10	11	7
FAD_binding_1	PF00667.25	8	6	7	7	11	6	8	14
PHM7_cyt	PF14703.11	6	8	7	7	8	7	8	8
CBFD_NFYB_HMF	PF00808.28	8	9	9	9	8	7	8	8
AAA_11	PF13086.11	5	6	9	5	8	9	7	7
SIR2	PF02146.22	5	4	6	6	6	6	6	6
ThiF	PF00899.26	7	7	7	7	8	7	8	7
Fasciclin	PF02469.27	6	3	5	7	3	4	3	5
NACHT	PF05729.17	6	2	16	9	10	10	6	7
Cation_efflux	PF01545.26	6	7	8	7	9	8	5	7
Hydant_A_N	PF05378.18	10	5	6	10	7	10	11	6
Polysacc_deac_1	PF01522.26	7	7	6	9	9	6	12	9
Methyltransf_16	PF10294.14	8	9	8	8	7	9	8	8
Cu_amine_oxid	PF01179.25	7	5	6	9	7	9	10	8
Dynamin_N	PF00350.28	8	8	13	6	9	9	4	7
CH	PF00307.36	5	5	4	3	4	3	4	4
FAD-oxidase_C	PF02913.24	7	9	4	3	9	8	12	10
PCMT	PF01135.24	10	4	9	6	11	7	5	12
PAS_9	PF13426.12	7	8	8	6	7	9	7	9
Ring_hydroxyl_A	PF00848.24	5	5	6	5	7	6	6	7
Chitin_synth_2	PF03142.20	7	8	7	7	8	7	9	9
TPR_7	PF13176.11	2	5	4	1	3	13	6	5
ABC_trans_N	PF14510.11	8	6	9	7	7	8	7	10
RSN1_7TM	PF02714.20	6	9	8	7	8	7	8	8
PPTA	PF01239.27	2	2	2	1	2	2	2	2
HSP70	PF00012.25	7	5	9	6	8	9	9	9
AAA_12	PF13087.11	6	6	10	5	9	11	8	6
NMO	PF03060.20	9	6	9	9	6	6	6	7
MaoC_dehydratas	PF01575.24	12	6	8	10	6	5	7	7
IBR	PF01485.26	7	4	3	7	5	7	7	6
Cation_ATPase_C	PF00689.26	11	7	10	9	5	7	6	6
HA2_C	PF21010.2	8	7	8	6	8	7	9	8
Glyco_hydro_3_C	PF01915.27	7	5	12	8	7	9	6	6
Sulfatase	PF00884.28	10	3	6	10	10	7	5	8
SGL	PF08450.17	5	6	4	3	9	7	6	9
LRR_4	PF12799.12	4	4	6	4	3	5	2	5
LIM	PF00412.27	3	4	2	4	4	3	3	4
Septin	PF00735.23	5	4	5	5	6	6	6	6
Cyclin	PF08613.16	6	5	7	7	7	7	7	6
Peptidase_M28	PF04389.22	6	5	8	7	8	7	9	9
EHN	PF06441.17	8	6	5	6	11	7	9	7
CMD	PF02627.25	6	6	4	8	8	5	7	6
ApbA_C	PF08546.16	5	7	7	9	8	7	8	8
MOSC	PF03473.22	7	7	5	6	9	6	10	8
Peptidase_M16_C	PF05193.26	5	5	6	6	5	5	6	6
AAA_22	PF13401.11	6	7	9	7	7	8	5	9
Aconitase	PF00330.25	7	4	6	5	5	9	6	6
Arylsulfotrans	PF05935.16	6	4	5	5	5	7	8	12
Myb_DNA-bind_6	PF13921.11	3	7	6	6	8	7	7	5
zf-CCCH	PF00642.29	5	4	7	3	5	8	8	6
Oxysterol_BP	PF01237.23	6	6	8	7	6	6	6	6
HEAT_2	PF13646.11	6	7	8	6	5	4	6	5
Gly_transf_sug	PF04488.20	6	4	8	5	10	9	6	9
tRNA-synt_2	PF00152.25	5	7	7	7	8	8	7	8
dCMP_cyt_deam_1	PF00383.28	7	7	6	7	9	4	8	9
Cyclin_N	PF00134.28	8	4	8	7	9	7	7	7
PEP_mutase	PF13714.11	4	2	8	9	9	10	7	8
FR47	PF08445.15	6	8	7	6	8	7	8	7
Glycos_transf_2	PF00535.31	7	8	7	5	7	8	6	9
Biotin_carb_C	PF02785.24	9	8	6	6	6	7	6	8
PTCB-BRCT	PF12738.12	4	4	4	3	4	4	5	5
Histone	PF00125.29	7	7	6	7	8	5	9	7
Cellulase	PF00150.23	8	6	9	5	8	6	8	6
Arylsulfotran_2	PF14269.11	6	4	5	5	7	7	9	13
ketoacyl-synt	PF00109.31	6	6	6	4	7	7	7	12
Kelch_5	PF13854.11	5	6	7	6	5	3	5	4
Adaptin_N	PF01602.25	7	7	8	5	8	7	7	6
MTS	PF05175.19	6	4	7	5	10	8	7	9
MatE	PF01554.23	5	2	3	3	4	4	4	3
Zip	PF02535.27	6	6	7	8	7	9	6	7
Biotin_carb_N	PF00289.27	9	7	6	6	6	7	6	8
DUF6594	PF20237.3	4	7	7	6	7	9	5	9
ATP-grasp	PF02222.27	6	7	5	6	6	5	7	7
Peptidase_M24	PF00557.29	6	5	8	7	7	8	8	6
Fn3-like	PF14310.11	7	4	11	7	6	9	5	6
AAA_19	PF13245.11	5	7	7	4	9	10	8	5
JAB	PF01398.26	5	6	8	8	8	6	7	6
PAP2	PF01569.26	6	6	8	8	7	5	6	8
DSPc	PF00782.25	7	4	8	7	7	7	8	6
IBN_N	PF03810.24	6	7	8	6	7	7	6	7
GTP_EFTU_D2	PF03144.30	6	6	9	6	6	6	7	8
RmlD_sub_bind	PF04321.22	8	5	5	5	8	8	7	8
Radical_SAM	PF04055.26	5	7	7	6	7	7	7	7
ATP-synt_C	PF00137.26	4	3	4	3	3	4	4	3
CFEM	PF05730.16	5	4	6	9	6	7	7	9
SPX	PF03105.24	4	3	5	4	5	4	4	5
GFO_IDH_MocA_C	PF02894.22	5	4	7	3	9	10	7	7
SSF	PF00474.22	11	5	4	4	8	7	6	7
NB-ARC	PF00931.27	6	3	11	5	4	10	6	7
RCC1_2	PF13540.11	2	2	4	4	4	3	4	5
ABM	PF03992.21	6	7	3	9	5	6	9	3
Sacchrp_dh_NADP	PF03435.23	6	4	4	6	10	10	5	7
Clat_adaptor_s	PF01217.25	7	5	7	6	7	6	7	6
RSN1_TM	PF13967.11	4	6	7	7	7	6	7	8
UNC-93	PF05978.21	4	3	5	7	9	8	9	7
PP2C	PF00481.26	5	5	7	5	5	5	5	5
Kelch_3	PF13415.11	3	4	4	3	5	4	4	2
Glycos_transf_1	PF00534.25	6	4	7	5	7	8	6	6
HA2_N	PF04408.28	8	6	7	5	6	4	8	7
Arginase	PF00491.26	7	4	7	5	6	6	7	8
ICL	PF00463.26	3	2	6	7	8	8	8	7
RhoGAP	PF00620.32	7	6	7	7	6	5	6	6
Bac_luciferase	PF00296.25	9	3	10	5	3	8	7	5
Na_H_Exchanger	PF00999.26	6	9	9	5	5	5	5	6
Acetyltransf_3	PF13302.12	7	4	6	5	6	9	6	7
Ish1	PF10281.14	1	1	1	1	1	1	2	0
tRNA-synt_1g	PF09334.16	6	6	6	5	5	6	7	6
Phosphodiest	PF01663.27	6	6	6	6	6	7	6	7
HODM_asu-like	PF11927.13	3	7	3	4	10	4	8	9
Abhydrolase_4	PF08386.15	4	1	7	6	9	6	9	7
MmgE_PrpD_N	PF03972.19	5	6	3	6	8	10	5	6
Glyco_hydro_31_2nd	PF01055.31	7	4	9	6	4	6	4	9
GATA	PF00320.32	4	7	6	6	6	4	6	5
Glyco_hydro_76	PF03663.19	6	6	5	4	7	7	6	8
SRPRB	PF09439.15	6	6	6	6	7	6	6	6
Mpv17_PMP22	PF04117.17	9	3	6	5	7	6	7	6
AAA_17	PF13207.11	5	5	6	8	6	6	6	7
PI3_PI4_kinase	PF00454.32	7	5	6	4	7	7	7	6
Pribosyltran	PF00156.32	6	5	6	6	6	6	9	4
OB_NTP_bind	PF07717.21	7	5	6	5	7	5	7	6
FAD_binding_6	PF00970.29	4	5	5	7	7	6	8	6
Glyco_hydro_31_3rd	PF21365.2	7	4	9	6	4	6	4	8
Snf7	PF03357.26	6	5	6	6	6	7	6	6
CMAS	PF02353.25	7	4	6	6	5	7	4	8
PPR_3	PF13812.11	4	2	3	2	4	4	4	3
SLAC1	PF03595.22	3	5	5	5	8	5	8	8
Ammonium_transp	PF00909.26	8	5	6	7	5	6	5	5
zf-RING_11	PF17123.10	5	4	5	7	8	6	6	7
Aminotran_4	PF01063.24	5	4	6	5	7	6	8	5
Y_phosphatase	PF00102.32	4	3	3	5	4	4	5	5
MFE-2_hydrat-2_N	PF22622.1	10	5	5	8	5	5	5	5
SNase	PF00565.22	2	3	2	2	2	2	2	2
GIDA	PF01134.27	3	3	7	4	7	8	7	8
FtsJ	PF01728.24	4	4	8	7	4	5	6	6
Catalase	PF00199.24	6	6	5	4	6	4	8	7
TPR_2	PF07719.22	4	4	4	3	2	3	3	4
EFG_C	PF00679.29	6	6	6	5	6	6	6	6
Aconitase_C	PF00694.24	7	4	6	5	5	8	6	6
TPT	PF03151.21	4	5	5	6	8	6	7	5
Glyco_trans_1_4	PF13692.11	6	4	7	5	5	7	6	6
MmgE_PrpD_C	PF19305.4	5	4	3	6	8	9	5	6
Hydrolase_like	PF13242.11	6	6	6	4	7	6	6	5
ubiquitin	PF00240.28	7	6	5	3	6	7	5	7
SAM_2	PF07647.23	7	6	7	4	5	5	7	5
ADH_N_2	PF16884.10	8	4	3	9	5	8	4	5
AhpC-TSA	PF00578.26	5	4	5	5	8	5	8	6
Gpr1_Fun34_YaaH	PF01184.24	5	5	5	5	6	5	4	7
RhoGEF	PF00621.25	5	6	6	6	6	5	6	6
RNase_PH	PF01138.26	5	5	6	5	6	5	6	6
Transket_pyr	PF02779.29	5	9	6	5	5	7	4	5
AAA_16	PF13191.11	6	2	5	7	5	8	7	6
Rhodanese	PF00581.25	4	7	4	5	6	5	6	6
DSBA	PF01323.25	6	5	4	5	5	5	5	6
Lactamase_B_2	PF12706.12	3	6	5	4	6	7	5	5
DUF202	PF02656.20	6	6	7	6	7	4	5	4
tRNA-synt_2b	PF00587.30	6	6	6	5	5	6	6	5
HEAT	PF02985.27	5	7	4	4	6	7	5	6
Glyco_hydro_43	PF04616.19	4	5	4	4	7	5	7	7
Dynamin_M	PF01031.25	6	5	9	4	7	7	2	4
Peptidase_S8	PF00082.27	2	7	6	4	6	9	5	6
CoA_trans	PF01144.28	3	2	2	3	3	3	3	3
FSH1	PF03959.18	7	4	4	3	6	6	7	5
SMC_N	PF02463.24	6	5	6	5	5	5	6	6
BAR	PF03114.23	6	5	5	6	6	6	6	4
Glyco_hydro_47	PF01532.25	5	7	5	6	5	5	5	6
PAP2_3	PF14378.11	4	3	3	3	3	4	3	4
HMG_box	PF00505.24	5	7	6	6	5	5	6	4
PNP_UDP_1	PF01048.25	2	1	11	5	8	5	3	9
MOSC_N	PF03476.21	6	5	5	5	7	4	6	6
Exo_endo_phos	PF03372.28	5	5	7	5	5	6	6	5
Ligase_CoA	PF00549.24	4	5	4	4	4	4	4	5
SUR7	PF06687.17	4	4	6	6	7	6	6	5
Pyridoxal_deC	PF00282.24	3	3	5	6	6	5	5	6
PHM7_ext	PF12621.13	5	6	5	5	6	5	6	6
PAF-AH_p_II	PF03403.18	4	3	4	5	6	4	6	5
Lyase_1	PF00206.25	6	4	5	6	5	5	6	6
Kelch_1	PF01344.30	2	4	5	4	7	4	4	3
S1	PF00575.28	3	3	4	2	3	2	4	4
Proteasome_A_N	PF10584.14	6	6	3	5	6	6	5	6
